%310
@RELATION PLMBION00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
1,?,?,?,?,?,?,?,?,?
2,782.35,48107.89,48389.84,2835.52,?,?,?,?,?
3,783.15,48222.72,48505.50,2832.46,?,?,?,?,?
4,781.69,47888.16,48143.94,2814.73,?,?,?,?,?
5,?,?,?,?,?,?,?,?,?
6,?,?,?,?,?,?,?,?,?
7,781.76,47589.33,47820.24,2793.31,?,?,?,?,?
8,780.70,47379.63,47624.67,2790.64,?,?,?,?,?
9,784.82,47407.28,47668.58,2784.62,?,?,?,?,?
10,788.85,47546.91,47798.66,2800.96,?,?,?,?,?
11,795.36,47440.80,47690.97,2815.88,?,?,?,?,?
12,?,?,?,?,?,?,?,?,?
13,?,?,?,?,?,?,?,?,?
14,797.42,47470.12,47724.95,2820.74,?,?,?,?,?
15,794.59,47086.54,47346.41,2817.16,?,?,?,?,?
16,796.34,47521.39,47794.60,2825.40,?,?,?,?,?
17,803.56,47661.37,47936.81,2848.09,?,?,?,?,?
18,807.72,47813.69,48104.67,2864.72,?,?,?,?,?
19,?,?,?,?,?,?,?,?,?
20,?,?,?,?,?,?,?,?,?
21,809.27,47936.61,48184.37,2890.14,?,?,?,?,?
22,808.23,47872.80,48127.89,2892.80,?,?,?,?,?
23,808.40,47733.24,47999.21,2890.57,?,?,?,?,?
24,811.80,47942.04,48203.43,2898.85,?,?,?,?,?
25,812.99,47613.95,47851.99,2897.93,?,?,?,?,?
26,?,?,?,?,?,?,?,?,?
27,?,?,?,?,?,?,?,?,?
28,813.38,47324.06,47553.14,2886.17,?,?,?,?,?
29,815.93,47328.40,47565.10,2878.58,?,?,?,?,?
30,815.59,46917.19,47113.08,2876.68,?,?,?,?,?
31,817.14,46840.15,47011.43,2880.57,?,?,?,?,?
32,818.68,46945.58,47121.08,2883.81,?,?,?,?,?
33,?,?,?,?,?,?,?,?,?
34,?,?,?,?,?,?,?,?,?
35,818.05,46556.55,46735.25,2856.17,?,?,?,?,?
36,816.68,46674.78,46862.43,2843.49,?,?,?,?,?
37,813.75,46149.14,46341.54,2811.05,?,?,?,?,?
38,811.13,46329.66,46512.72,2815.91,?,?,?,?,?
39,813.77,46741.54,46931.40,2825.70,?,?,?,?,?
40,?,?,?,?,?,?,?,?,?
41,?,?,?,?,?,?,?,?,?
42,817.03,46786.74,46988.04,2826.84,?,?,?,?,?
43,817.32,46399.26,46564.61,2821.25,?,?,?,?,?
44,817.35,46406.74,46569.81,2825.02,?,?,?,?,?
45,818.81,46211.54,46360.51,2825.15,?,?,?,?,?
46,826.73,46370.13,46523.63,2838.22,?,?,?,?,?
47,?,?,?,?,?,?,?,?,?
48,?,?,?,?,?,?,?,?,?
49,830.85,46508.27,46665.39,2848.48,?,?,?,?,?
